id,canonical,aliases
1,校级领导,校级
2,院所领导,院级|院所级
3,处级领导,处级
4,学协会领导,科协会领导|学术社团|参与学术社团
5,学科带头人,
6,QS Top 200,QS Top 50|QS Top 100
7,QS Top 500,
8,双一流高校,双一流
9,985高校,985|211
10,本科院校,
11,专科院校,
12,公办,
13,民办,
14,合作办学,
15,期刊任职,
16,学术会议组织经验,曾担任学术职务
17,学术评审经验,
18,审修经历,
19,学术文章原创经验,
20,顶级学术机构,
21,导师师资,导师职务|导师身份
22,深度话题创作,
23,一般话题创作,
24,专业曝光,
25,社交拓展,
26,知识分享,
27,期刊审稿,
28,同行预审,
29,翻译,
30,润色,
31,审修,
32,降重,
33,头条创作,
34,提案,
35,会议嘉宾,
36,艾思云课堂,
37,论文—对一,论文一对一
38,其它,其他
39,会议组委审稿,
40,专家审稿,
41,校对,
42,排版,
43,图表编辑,
44,合作办会,
45,经费筹集,
46,专家推荐,
47,场地申请,
48,合作引荐,
49,宣传组织,
50,会务筹备,
51,志愿者组织,
52,参会推荐,
53,投稿推荐,
54,出版配合,
55,翻译水平高,
56,润色水平高,
57,合作意愿强,
58,配合程度高,
59,有亲和力,
60,学术资源丰富,
61,时间观念强,
62,任务质量高,
63,学术水平高,
64,翻译水平低,
65,润色水平低,
66,合作意愿弱,
67,配合程度低,
68,不好相处,
69,学术资源欠缺,
70,时间观念差,
71,任务质量低,
72,学术水平低,
73,海外院校,海归
74,终止合作,
75,审批文件,
